Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		3,020 K	12,952 K	8288	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,876 K	10,380 K	6984	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,832 K	8,748 K	9976	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,960 K	19,180 K	1396	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,648 K	8,112 K	6116	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,796 K	19,448 K	2296	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		9,220 K	21,868 K	5804		
  svchost.exe		1,852 K	7,556 K	10592	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	6,048 K	16,268 K	6460	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,240 K	16,324 K	8184	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,708 K	14,080 K	3504	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		11,512 K	12,364 K	1936	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,732 K	6,856 K	7428	Host Process for Windows Services	Microsoft Corporation
 lsass.exe	< 0.01	7,384 K	19,624 K	548	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,984 K	4,828 K	748	Usermode Font Driver Host	Microsoft Corporation
csrss.exe	< 0.01	3,016 K	7,452 K	816		
winlogon.exe		3,020 K	11,192 K	904	Windows 로그온 응용 프로그램	Microsoft Corporation
 fontdrvhost.exe		6,064 K	27,000 K	820	Usermode Font Driver Host	Microsoft Corporation
 dwm.exe	< 0.01	49,200 K	85,524 K	1372	데스크톱 창 관리자	Microsoft Corporation
explorer.exe	< 0.01	83,888 K	177,556 K	7560	Windows 탐색기	Microsoft Corporation
 SecurityHealthSystray.exe		1,932 K	9,436 K	9816	Windows Security notification icon	Microsoft Corporation
 RtkNGUI64.exe		4,668 K	14,020 K	9936	Realtek HD 오디오 관리자	Realtek Semiconductor
 KakaoTalk.exe		126,088 K	138,808 K	10092	KakaoTalk	Kakao Corp. 
 msedge.exe	< 0.01	67,728 K	169,740 K	11216	Microsoft Edge	Microsoft Corporation
  msedge.exe		2,088 K	7,716 K	8516	Microsoft Edge	Microsoft Corporation
  msedge.exe		57,784 K	77,464 K	5816	Microsoft Edge	Microsoft Corporation
  msedge.exe	< 0.01	12,332 K	36,168 K	5940	Microsoft Edge	Microsoft Corporation
  msedge.exe	< 0.01	7,700 K	18,544 K	932	Microsoft Edge	Microsoft Corporation
  msedge.exe	< 0.01	18,824 K	44,108 K	1180	Microsoft Edge	Microsoft Corporation
  msedge.exe	< 0.01	53,808 K	95,712 K	9712	Microsoft Edge	Microsoft Corporation
  msedge.exe		176,172 K	201,344 K	8680	Microsoft Edge	Microsoft Corporation
  msedge.exe		14,396 K	26,804 K	9088	Microsoft Edge	Microsoft Corporation
  msedge.exe	< 0.01	8,372 K	24,864 K	10388	Microsoft Edge	Microsoft Corporation
 Obsidian.exe	< 0.01	74,688 K	91,340 K	5168	Obsidian	Obsidian
  Obsidian.exe	< 0.01	75,956 K	101,940 K	6904	Obsidian	Obsidian
  Obsidian.exe	< 0.01	16,900 K	42,436 K	4636	Obsidian	Obsidian
  Obsidian.exe	0.13	415,584 K	409,880 K	2588	Obsidian	Obsidian
 WINWORD.EXE	< 0.01	83,908 K	144,276 K	3152	Microsoft Word	Microsoft Corporation
  WINWORD.EXE		105,712 K	154,280 K	5620	Microsoft Word	Microsoft Corporation
 chrome.exe	< 0.01	92,056 K	201,172 K	3652	Google Chrome	Google LLC
  chrome.exe		6,624 K	9,276 K	3184	Google Chrome	Google LLC
  chrome.exe		119,704 K	158,236 K	5744	Google Chrome	Google LLC
  chrome.exe	< 0.01	25,720 K	53,496 K	10272	Google Chrome	Google LLC
  chrome.exe		8,240 K	20,480 K	6356	Google Chrome	Google LLC
  chrome.exe		56,636 K	116,660 K	2312	Google Chrome	Google LLC
  chrome.exe		37,188 K	83,128 K	10852	Google Chrome	Google LLC
  chrome.exe		22,128 K	52,752 K	5876	Google Chrome	Google LLC
  chrome.exe	< 0.01	7,068 K	16,980 K	3208	Google Chrome	Google LLC
  chrome.exe		82,616 K	110,160 K	5180	Google Chrome	Google LLC
  chrome.exe		43,880 K	101,528 K	7088	Google Chrome	Google LLC
  chrome.exe		12,448 K	27,520 K	5360	Google Chrome	Google LLC
 procexp64.exe	0.13	48,044 K	96,268 K	2556	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
vmware-tray.exe		3,608 K	11,232 K	10168	VMware Tray Process	VMware, Inc.

